encounters	encounters_pkey	t	t	CREATE UNIQUE INDEX encounters_pkey ON public.encounters USING btree (id)
encounters	idx_encounters_org	f	f	CREATE INDEX idx_encounters_org ON public.encounters USING btree (organization_id)
era_batches	era_batches_pkey	t	t	CREATE UNIQUE INDEX era_batches_pkey ON public.era_batches USING btree (id)
era_batches	idx_era_batches_org	f	f	CREATE INDEX idx_era_batches_org ON public.era_batches USING btree (org_id)
era_claim_lines	era_claim_lines_pkey	t	t	CREATE UNIQUE INDEX era_claim_lines_pkey ON public.era_claim_lines USING btree (id)
era_claim_lines	idx_era_claim_lines_batch	f	f	CREATE INDEX idx_era_claim_lines_batch ON public.era_claim_lines USING btree (era_batch_id)
era_lines	era_lines_pkey	t	t	CREATE UNIQUE INDEX era_lines_pkey ON public.era_lines USING btree (id)
era_lines	idx_era_lines_claim	f	f	CREATE INDEX idx_era_lines_claim ON public.era_lines USING btree (claim_id)
era_lines	idx_era_lines_era	f	f	CREATE INDEX idx_era_lines_era ON public.era_lines USING btree (era_id)
field_definitions	field_definitions_pkey	t	t	CREATE UNIQUE INDEX field_definitions_pkey ON public.field_definitions USING btree (code)
flow_run_events	flow_run_events_pkey	t	t	CREATE UNIQUE INDEX flow_run_events_pkey ON public.flow_run_events USING btree (id)
flow_run_events	idx_flow_run_events_run	f	f	CREATE INDEX idx_flow_run_events_run ON public.flow_run_events USING btree (flow_run_id)
flow_runs	flow_runs_pkey	t	t	CREATE UNIQUE INDEX flow_runs_pkey ON public.flow_runs USING btree (id)
flow_runs	idx_flow_runs_due	f	f	CREATE INDEX idx_flow_runs_due ON public.flow_runs USING btree (status, next_action_at)
flow_runs	idx_flow_runs_due_partial	f	f	CREATE INDEX idx_flow_runs_due_partial ON public.flow_runs USING btree (status, next_action_at) WHERE ((status)::text = 'running'::text)
flow_runs	idx_flow_runs_lead	f	f	CREATE INDEX idx_flow_runs_lead ON public.flow_runs USING btree (lead_id)
flow_runs	idx_flow_runs_org	f	f	CREATE INDEX idx_flow_runs_org ON public.flow_runs USING btree (organization_id, status)
flow_steps	flow_steps_pkey	t	t	CREATE UNIQUE INDEX flow_steps_pkey ON public.flow_steps USING btree (id)
flow_steps	idx_flow_steps_flow_id	f	f	CREATE INDEX idx_flow_steps_flow_id ON public.flow_steps USING btree (flow_id, step_order)
flows	flows_pkey	t	t	CREATE UNIQUE INDEX flows_pkey ON public.flows USING btree (id)
flows	idx_flows_org_active	f	f	CREATE INDEX idx_flows_org_active ON public.flows USING btree (organization_id, is_active)
hcpcs_codes	hcpcs_codes_code_key	t	f	CREATE UNIQUE INDEX hcpcs_codes_code_key ON public.hcpcs_codes USING btree (code)
hcpcs_codes	hcpcs_codes_pkey	t	t	CREATE UNIQUE INDEX hcpcs_codes_pkey ON public.hcpcs_codes USING btree (id)
hcpcs_rates	hcpcs_rates_pkey	t	t	CREATE UNIQUE INDEX hcpcs_rates_pkey ON public.hcpcs_rates USING btree (id)
icd10_codes	icd10_codes_code_key	t	f	CREATE UNIQUE INDEX icd10_codes_code_key ON public.icd10_codes USING btree (code)
icd10_codes	icd10_codes_pkey	t	t	CREATE UNIQUE INDEX icd10_codes_pkey ON public.icd10_codes USING btree (id)
icd10_codes	idx_icd10_codes_description	f	f	CREATE INDEX idx_icd10_codes_description ON public.icd10_codes USING gin (to_tsvector('english'::regconfig, description))
leads	idx_leads_email	f	f	CREATE INDEX idx_leads_email ON public.leads USING btree (email)
leads	idx_leads_org	f	f	CREATE INDEX idx_leads_org ON public.leads USING btree (organization_id)
leads	idx_leads_status	f	f	CREATE INDEX idx_leads_status ON public.leads USING btree (status)
leads	leads_pkey	t	t	CREATE UNIQUE INDEX leads_pkey ON public.leads USING btree (id)
login_attempts	idx_login_attempts_ip_time	f	f	CREATE INDEX idx_login_attempts_ip_time ON public.login_attempts USING btree (ip, attempted_at)
login_attempts	login_attempts_pkey	t	t	CREATE UNIQUE INDEX login_attempts_pkey ON public.login_attempts USING btree (id)
manual_extraction_items	manual_extraction_items_pkey	t	t	CREATE UNIQUE INDEX manual_extraction_items_pkey ON public.manual_extraction_items USING btree (id)
nurture_sequences	idx_nurture_sequences_org	f	f	CREATE INDEX idx_nurture_sequences_org ON public.nurture_sequences USING btree (organization_id)
nurture_sequences	nurture_sequences_pkey	t	t	CREATE UNIQUE INDEX nurture_sequences_pkey ON public.nurture_sequences USING btree (id)
org_lead_sources	org_lead_sources_organization_id_slug_key	t	f	CREATE UNIQUE INDEX org_lead_sources_organization_id_slug_key ON public.org_lead_sources USING btree (organization_id, slug)
