cci_edits	8	ncci_version	text		NO	
cci_edits	9	source_file	text		NO	
cci_edits	10	ingested_at	timestamp without time zone		YES	now()
chat_analytics	1	id	character varying		NO	gen_random_uuid()
chat_analytics	2	date	text		NO	
chat_analytics	3	total_sessions	integer		NO	0
chat_analytics	4	completed_sessions	integer		NO	0
chat_analytics	5	abandoned_sessions	integer		NO	0
chat_analytics	6	leads_generated	integer		NO	0
chat_analytics	7	appointments_booked	integer		NO	0
chat_analytics	8	avg_session_duration	integer		YES	
chat_analytics	9	dropoff_by_step	jsonb		YES	'{}'::jsonb
chat_analytics	10	conversion_rate	real		YES	
chat_analytics	11	created_at	timestamp without time zone		NO	now()
chat_analytics	12	organization_id	character varying		YES	
chat_messages	1	id	character varying		NO	gen_random_uuid()
chat_messages	2	session_id	character varying		NO	
chat_messages	3	type	text		NO	'bot'::text
chat_messages	4	step_id	text		YES	
chat_messages	5	content	text		NO	
chat_messages	6	metadata	jsonb		YES	
chat_messages	7	created_at	timestamp without time zone		NO	now()
chat_messages	8	organization_id	character varying		YES	
chat_sessions	1	id	character varying		NO	gen_random_uuid()
chat_sessions	2	visitor_token	text		NO	
chat_sessions	3	lead_id	character varying		YES	
chat_sessions	4	status	text		NO	'active'::text
chat_sessions	5	current_step_id	text		NO	'welcome'::text
chat_sessions	6	collected_data	jsonb		YES	'{}'::jsonb
chat_sessions	7	qualification_score	integer		YES	
chat_sessions	8	source	text		NO	'chat_widget'::text
chat_sessions	9	referrer_url	text		YES	
chat_sessions	10	user_agent	text		YES	
chat_sessions	11	ip_address	text		YES	
chat_sessions	12	started_at	timestamp without time zone		NO	now()
chat_sessions	13	completed_at	timestamp without time zone		YES	
chat_sessions	14	abandoned_at	timestamp without time zone		YES	
chat_sessions	15	last_activity_at	timestamp without time zone		NO	now()
chat_sessions	16	organization_id	character varying		YES	
claim_events	1	id	character varying		NO	gen_random_uuid()
claim_events	2	claim_id	character varying		NO	
claim_events	3	type	text		NO	
claim_events	4	timestamp	timestamp without time zone		NO	now()
claim_events	5	notes	text		YES	
claim_events	6	organization_id	character varying		YES	
claim_follow_up_notes	1	id	character varying		NO	(gen_random_uuid())::text
claim_follow_up_notes	2	claim_id	character varying		NO	
claim_follow_up_notes	3	org_id	character varying		YES	
claim_follow_up_notes	4	user_id	character varying		YES	
